year,code,name,round,league,region,decade,superliga,city,areacode,metropol,pop,gdp,country,eurostat,ecb,cowc,cown
1981,LIV,Liverpool FC,W,England,Big 5,1980s,Yes,Liverpool,UK006,Liverpool,1533860,50484,United Kingdom,UK,GB,UKG,200
1981,MAD,Real Madrid CF,RU,Spain,Big 5,1980s,Yes,Madrid,ES001,Madrid,6791667,342534,Spain,ES,ES,SPN,230
1981,BMN,FC Bayern,SF,Germany,Big 5,1980s,No,München,DE003,Munich,2883373,241407,Germany,DE,DE,GMY,255
1981,INT,FC Inter Milan,SF,Italy,Big 5,1980s,Yes,Milano,IT002,Milan,5145657,301366,Italy,IT,IT,ITA,325
1981,BEL,Red Star,QF,Serbia,East,1980s,No,Belgrade,Belgrade,NA,NA,NA,NA,NA,NA,NA,NA
1981,SPA,Spartak Moscow,QF,Russia,East,1980s,No,Moscow,RU001,Moscow,12506468,284400,Russia,RU,RU,RUS,365
1981,OST,Baník Ostrava,QF,Czechia,East,1980s,No,Ostrava,CZ003,Ostrava,719777,22067,Czechia,CZ,CZ,CZR,316
1981,SOF,CSKA Sofia,QF,Bulgaria,East,1980s,No,Sofia,BG001,NA,NA,NA,Bulgaria,BG,BG,BUL,355
1982,AST,Aston Villa FC,W,England,Big 5,1980s,No,Birmingham,UK002,West Midlands urban area,3097965,112240,United Kingdom,UK,GB,UKG,200
1982,BMN,FC Bayern,RU,Germany,Big 5,1980s,No,München,DE003,Munich,2883373,241407,Germany,DE,DE,GMY,255
1982,SOF,CSKA Sofia,SF,Bulgaria,East,1980s,No,Sofia,BG001,NA,NA,NA,Bulgaria,BG,BG,BUL,355
1982,AND,RSC Anderlecht,SF,Belgium,Small,1980s,No,Bruxelles / Brussel,BE001,Brussels,2659855,198355,Belgium,BE,BE,BEL,211
1982,CRA,Universitatea Craiova,QF,Romania,East,1980s,No,Craiova,RO004,NA,NA,NA,Romania,RO,RO,ROM,360
1982,LIV,Liverpool FC,QF,England,Big 5,1980s,Yes,Liverpool,UK006,Liverpool,1533860,50484,United Kingdom,UK,GB,UKG,200
1982,BEL,Red Star,QF,Serbia,East,1980s,No,Belgrade,Belgrade,NA,NA,NA,NA,NA,NA,NA,NA
1982,KYV,FC Dynamo Kyiv,QF,Ukraine,East,1980s,No,Kyiv,UA001,Kyiv,2884000,8056,Ukraine,UA,UA,UKR,369
1983,HAM,Hamburg,W,Germany,Big 5,1980s,No,Hamburg,BE002,Antwerp,1110442,66122,Germany,DE,DE,GMY,255
1983,JUV,Juventus FC,RU,Italy,Big 5,1980s,Yes,Torino,IT004,Turin,1760085,76575,Italy,IT,IT,ITA,325
1983,RSO,Real Sociedad,SF,Spain,Big 5,1980s,No,Guipúzcoa,ES510,Donostia-San Sebastian,339093,NA,Spain,ES,ES,SPN,230
1983,WID,Widzew Łódź,SF,Poland,East,1980s,No,Łódź,PL002,Lodz,907154,31322,Poland,PL,PL,POL,290
1983,LIV,Liverpool FC,QF,England,Big 5,1980s,Yes,Liverpool,UK006,Liverpool,1533860,50484,United Kingdom,UK,GB,UKG,200
1983,AST,Aston Villa FC,QF,England,Big 5,1980s,No,Birmingham,UK002,West Midlands urban area,3097965,112240,United Kingdom,UK,GB,UKG,200
1983,KYV,FC Dynamo Kyiv,QF,Russia,East,1980s,No,Kyiv,UA001,Kyiv,2884000,8056,Russia,RU,RU,RUS,365
1983,SPO,Sporting Portugal,QF,Portugal,Small,1980s,No,Lisbon,PT001,Lisbon,2976356,122547,Portugal,PT,PT,POR,235
1984,LIV,Liverpool FC,W,England,Big 5,1980s,Yes,Liverpool,UK006,Liverpool,1533860,50484,United Kingdom,UK,GB,UKG,200
1984,ROM,AS Roma,RU,Italy,Big 5,1980s,No,Roma,IT001,Rome,4429025,215715,Italy,IT,IT,ITA,325
1984,BUC,Dinamo Bucaresti,SF,Romania,East,1980s,No,Bucuresti,RO001,NA,NA,NA,Romania,RO,RO,ROM,360
